scenario,search_location,hotel_name,stars_clean,district,address,room_class,room_type,bed_class,bed_type,rooms,final_price,original_price,discount_percent,rating_clean,review_count,location_clean,distance_km,free_cancel_bool,breakfast_bool,badge_clean,adults,children,total_guests,check_in
Random_5A_0C_2R,Binh Duong,Nhà nghỉ thảo ngân,0,Binh Duong,Bình Mỹ,Standard/Superior,Phòng 3 Người,Double/Large,1 giường đôi lớn,2,705000,705000,0,7,2,,,1,0,No Deal,5,0,5,12/23/2025
Random_5A_0C_3R,Binh Duong,Nhà nghỉ thảo ngân,0,Binh Duong,Bình Mỹ,Standard/Superior,Phòng 3 Người,Double/Large,1 giường đôi lớn,3,1034000,1034000,0,7,2,,,1,0,No Deal,5,0,5,12/23/2025
Random_1A_0C_1R,Binh Duong,Nhà nghỉ Trúc Ngân,0,Binh Duong,Ga Phú Văn,Standard/Superior,Phòng Đơn Có Phòng Tắm Riêng,Single/Twin,1 giường đơn,1,300000,300000,0,,,,,0,0,No Deal,1,0,1,12/23/2025
Random_2A_0C_1R,Binh Duong,Nhà nghỉ Trúc Ngân,0,Binh Duong,Ga Phú Văn,Standard/Superior,Phòng Đơn Có Phòng Tắm Riêng,Single/Twin,2 giường đơn,1,600000,600000,0,,,,,0,0,No Deal,2,0,2,12/23/2025
Random_3A_0C_1R,Binh Duong,Nhà nghỉ Trúc Ngân,0,Binh Duong,Ga Phú Văn,Standard/Superior,Phòng Đơn Có Phòng Tắm Riêng,Single/Twin,3 giường đơn,1,900000,900000,0,,,,,0,0,No Deal,3,0,3,12/23/2025
Random_4A_0C_1R,Binh Duong,Nhà nghỉ Trúc Ngân,0,Binh Duong,Ga Phú Văn,Standard/Superior,Phòng Đơn Có Phòng Tắm Riêng,Single/Twin,4 giường đơn,1,1200000,1200000,0,,,,,0,0,No Deal,4,0,4,12/23/2025
Random_5A_0C_2R,Binh Duong,Nhà nghỉ Trúc Ngân,0,Binh Duong,Ga Phú Văn,Standard/Superior,Phòng Đơn Có Phòng Tắm Riêng,Single/Twin,5 giường đơn,2,1500000,1500000,0,,,,,0,0,No Deal,5,0,5,12/23/2025
Random_6A_0C_3R,Binh Duong,Nhà nghỉ Trúc Ngân,0,Binh Duong,Ga Phú Văn,Standard/Superior,Phòng Đơn Có Phòng Tắm Riêng,Single/Twin,6 giường đơn,3,1800000,1800000,0,,,,,0,0,No Deal,6,0,6,12/23/2025
Random_2A_0C_1R,Binh Duong,Nhà Nghỉ Tuyết Minh,0,Binh Duong,Xóm Mỹ Thanh,Standard/Superior,Phòng Giường Đôi,Double/Large,Phòng Giường Đôi,1,200000,200000,0,8.8,8,9.5,,1,0,No Deal,2,0,2,12/23/2025
Random_3A_0C_1R,Binh Duong,Nhà Nghỉ Tuyết Minh,0,Binh Duong,Xóm Mỹ Thanh,Standard/Superior,Phòng Giường Đôi,Double/Large,Phòng Giường Đôi,1,400000,400000,0,8.8,8,9.5,,1,0,No Deal,3,0,3,12/23/2025
Random_5A_0C_2R,Binh Duong,Nhà Nghỉ Tuyết Minh,0,Binh Duong,Xóm Mỹ Thanh,Standard/Superior,Phòng Giường Đôi,Double/Large,Phòng Giường Đôi,2,600000,600000,0,8.8,8,9.5,,1,0,No Deal,5,0,5,12/23/2025
Random_6A_1C_4R_Ages(7),Binh Duong,Nhà Nghỉ Tuyết Minh,0,Binh Duong,Xóm Mỹ Thanh,Standard/Superior,Phòng Giường Đôi,Double/Large,Phòng Giường Đôi,4,800000,800000,0,8.8,8,9.5,,1,0,No Deal,6,1,7,12/23/2025
Random_6A_1C_4R_Ages(7),Vung Tau,NHÀ NGUYÊN CĂN DŨNG VINH HOMESTAY VŨNG TÀU,0,Vung Tau,Vũng Tàu,Family/Large,Căn nhà phố 3 phòng ngủ,Double/Large,"9 giường (2 giường sofa, 7 giường đôi lớn)",4,1120000,1120000,0,9.2,20,,1.6,0,0,No Deal,6,1,7,12/23/2025
