room_id,hotel_id,room_name,price,area_m2,bed_type,max_occupancy,view,amenities
ROOM_009018,IVU_000019,Phòng Deluxe River View,1782000,30 m²,1 Giường đôi,3,Hướng sông,28 m²; Phòng không cửa sổ; 30 m²; Cửa sổ; Hướng sông; 30 m²; Hướng sông; 40 m²; Hướng sông; 80 m²; Hướng sông; 30 m²; Cửa sổ; Bồn tắm; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 Giường đôi
ROOM_009019,IVU_000019,Phòng Suite River View,2376000,40 m²,,3,Hướng sông,28 m²; Phòng không cửa sổ; 30 m²; Cửa sổ; Hướng sông; 30 m²; Hướng sông; 40 m²; Hướng sông; 80 m²; Hướng sông; 40 m²; Cửa sổ; Bồn tắm; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 phòng ngủ
ROOM_009020,IVU_000019,Phòng Executive Suite,3696000,80 m²,,3,Hướng sông,28 m²; Phòng không cửa sổ; 30 m²; Cửa sổ; Hướng sông; 30 m²; Hướng sông; 40 m²; Hướng sông; 80 m²; Hướng sông; 80 m²; Cửa sổ; Bồn tắm; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 phòng ngủ
ROOM_012021,IVU_000027,Phòng Ban Công,832000,35 m²,1 Giường đôi,2,,35 m²; Ban công; 35 m²; Ban công; 35 m²; Ban công; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 Giường đôi
ROOM_012022,IVU_000027,Phòng Cửa Sổ,832000,35 m²,1 Giường đôi,2,,35 m²; Ban công; 35 m²; Ban công; 35 m²; Ban công; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 Giường đôi
ROOM_012023,IVU_000032,Phòng Sang Trọng,2794500,18 m²,1 Giường đôi (1m6 x 2m ),,,18 m²; Phòng không hút thuốc; 18 m²; Phòng không hút thuốc; 1 Giường đôi (1m6 x 2m ); Vòi sen; Các loại khăn; Điện thoại; Điều hòa; Quạt; Bàn làm việc; Không hút thuốc
ROOM_013024,IVU_000037,La Vela Deluxe,8566000,28 m²,,2,Hướng thành phố,Hướng thành phố; 28 m²; Hướng thành phố; 32 m²; Hướng thành phố; 40 m²; Hướng thành phố; 45 m²; Hướng thành phố; 110 m²; Hướng thành phố; 28 m²; Phòng không hút thuốc; Bồn tắm; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 phòng ngủ
ROOM_013025,IVU_000037,La Vela Deluxe Corner,5021500,32 m²,1 Giường King,2,Hướng thành phố,Hướng thành phố; 28 m²; Hướng thành phố; 32 m²; Hướng thành phố; 40 m²; Hướng thành phố; 45 m²; Hướng thành phố; 110 m²; Hướng thành phố; 32 m²; Phòng không hút thuốc; Ban công; Bồn tắm; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 Giường King
ROOM_013026,IVU_000037,La Vela Luxury Deluxe,8179000,40 m²,,2,Hướng thành phố,Hướng thành phố; 28 m²; Hướng thành phố; 32 m²; Hướng thành phố; 40 m²; Hướng thành phố; 45 m²; Hướng thành phố; 110 m²; Hướng thành phố; 40 m²; Phòng không hút thuốc; Ban công; Cửa sổ; Bồn tắm; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 phòng ngủ
ROOM_013027,IVU_000037,La Vela Luxury Deluxe Corner,5989500,45 m²,,2,Hướng thành phố,Hướng thành phố; 28 m²; Hướng thành phố; 32 m²; Hướng thành phố; 40 m²; Hướng thành phố; 45 m²; Hướng thành phố; 110 m²; Hướng thành phố; 45 m²; Phòng không hút thuốc; Ban công; Bồn tắm; Vòi hoa sen; Máy lạnh; 1 Toilet; 1 phòng ngủ
