hotel_name,hotel_url,detail_url,name_detail,phone,ratingValue,reviewCount,priceRange,address,amenities,room_types
505. Minh Hoang Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d12364558-Reviews-Minh_Hoang_Hotel-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d12364558-Reviews-Minh_Hoang_Hotel-Ho_Chi_Minh_City.html,Minh Hoang Hotel,,4.0,6.0,368.421 ₫ - 500.000 ₫,"Số 74, đường Bình Giã Phường 13, Quận Tân Bình, Thành phố Hồ Chí Minh, 70000, Việt Nam",,Thành phố
707. Hanh Phuc Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d12514260-Reviews-Hanh_Phuc_Hotel-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d12514260-Reviews-Hanh_Phuc_Hotel-Ho_Chi_Minh_City.html,Hanh Phuc Hotel,,4.0,1.0,473.684 ₫ - 894.737 ₫,"265 Nguyen Trai District 1, Thành phố Hồ Chí Minh, Việt Nam",,Thành phố
159. Ha My Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d14132188-Reviews-Ha_My_Hotel-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d14132188-Reviews-Ha_My_Hotel-Ho_Chi_Minh_City.html,Ha My Hotel,,4.0,5.0,315.789 ₫ - 631.579 ₫,"32 Street No. 6 Linh Trung, Thu Duc, Thành phố Hồ Chí Minh, 700000, Việt Nam",,Thành phố
240. UpTown Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d16811763-Reviews-UpTown_Hotel-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d16811763-Reviews-UpTown_Hotel-Ho_Chi_Minh_City.html,UpTown Hotel,,4.0,26.0,1.315.789 ₫ - 1.868.421 ₫,"11-13 Lưu Văn Lang Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, 700000, Việt Nam","Bãi đỗ xe công cộng trả phí ở gần, Bữa sáng miễn phí, Bảo vệ 24 giờ, Bồn tắm / vòi sen, Dịch vụ phòng, Dọn phòng, Internet tốc độ miễn phí (WiFi), Khu để hành lý, Két sắt, Màn che ánh sáng, Máy sao chép / máy fax ở quầy dịch vụ văn phòng, Phòng Suite, Tiếp tân 24 giờ, Truyền hình cáp / truyền hình vệ tinh, Tủ lạnh, Xe đưa đón sân bay, Điều hòa nhiệt độ","Hạng trung, Suite, Thành phố"
276. Senerity Sky Villas By Luminous Luxury Apartment,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d25417859-Reviews-Senerity_Sky_Villas_By_Luminous_Luxury_Apartment-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d25417859-Reviews-Senerity_Sky_Villas_By_Luminous_Luxury_Apartment-Ho_Chi_Minh_City.html,Senerity Sky Villas By Luminous Luxury Apartment,,4.0,4.0,2.684.211 ₫ - 13.052.632 ₫,"259 Dien Bien Phu Vo Thi Sau Ward, Thành phố Hồ Chí Minh, 700000, Việt Nam",,"Hạng trung, Thành phố"
202. Cicilia City Hotel Saigon Center,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d14100690-Reviews-Cicilia_City_Hotel_Saigon_Center-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d14100690-Reviews-Cicilia_City_Hotel_Saigon_Center-Ho_Chi_Minh_City.html,Cicilia City Hotel Saigon Center,,4.0,175.0,1.078.947 ₫ - 89.421.056 ₫,"12D Cách Mạng Tháng 8, Thành phố Hồ Chí Minh, 700000, Việt Nam",,Thành phố
Grand Hotel Beijing,https://www.tripadvisor.com.vn/Hotel_Review-g294212-d302012-Reviews-Grand_Hotel_Beijing-Beijing.html,https://www.tripadvisor.com.vn/Hotel_Review-g294212-d302012-Reviews-Grand_Hotel_Beijing-Beijing.html,Grand Hotel Beijing,,4.0,444.0,3.921.053 ₫ - 6.921.053 ₫,"No.35 East Chang'an Street, Dongcheng District, Bắc Kinh, 100006, Trung Quốc",,
459. 3 La Hostel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d7820086-Reviews-3_La_Hostel-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d7820086-Reviews-3_La_Hostel-Ho_Chi_Minh_City.html,3 La Hostel,,4.0,23.0,552.632 ₫ - 684.211 ₫,"32A Cao Ba Nha District 1, Thành phố Hồ Chí Minh, 70000, Việt Nam",,Thành phố
438. Khách sạn Roseland Point,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d1379041-Reviews-Roseland_Point_Hotel-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d1379041-Reviews-Roseland_Point_Hotel-Ho_Chi_Minh_City.html,Khách sạn Roseland Point,,4.0,459.0,2.368.421 ₫ - 3.736.842 ₫,"65 Hồ Tùng Mậu, phường Bến Nghé, quận 1, Thành phố Hồ Chí Minh, 700000, Việt Nam",,"Hạng trung, Thành phố, minibar"
354. The Noble Swan Hotel New World,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d26447690-Reviews-The_Noble_Swan_Hotel_New_World-Ho_Chi_Minh_City.html,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d26447690-Reviews-The_Noble_Swan_Hotel_New_World-Ho_Chi_Minh_City.html,The Noble Swan Hotel New World,,4.0,7.0,473.684 ₫ - 1.315.789 ₫,"270 Lê Thánh Tôn, Thành phố Hồ Chí Minh, Việt Nam",,Thành phố
