Scenario,Hotel Name,Stars_Clean,District,Address,Room_Class,Room Type,Bed_Class,Bed Type,Final Price,Original Price,Discount %,Rating_Clean,Review Count,Location_Clean,Distance_KM,Free_Cancel_Bool,Breakfast_Bool,Badge_Clean,Adults,Children,Total_Guests,Check-in
Random_1A_2C_1R_Ages(1_2),CHEZ LOTUS VN,0.0,Quận 4,"Quận 4, TP. Hồ Chí Minh",Family/Large,Phòng Gia Đình Có Ban Công,Double/Large,"2 giường (1 giường đơn, 1 giường đôi lớn)",741150,1482300,50.0,8.1,133.0,,2.3,1,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),"SOHO Apartments - City Central, 10mins to BenThanh Market, BuiVien Street",4.0,Quận 1,"Quận 1, TP. Hồ Chí Minh",Apartment/Studio,Căn Hộ Studio,Double/Large,2 giường đôi lớn,972000,972000,0.0,7.0,59.0,,1.5,0,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Tan Hoang Long Hotel,0.0,Quận 5,"Quận 5, TP. Hồ Chí Minh",Standard/Superior,Phòng Tiêu Chuẩn Có Giường Cỡ Queen,Double/Large,Phòng Tiêu Chuẩn Có Giường Cỡ Queen,420000,420000,0.0,6.8,57.0,,2.6,1,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),River View Apartment near Ben Thanh Free Netflix Gym High Floor,4.0,Quận 4,"Quận 4, TP. Hồ Chí Minh (Bach Dang Riverside)",Apartment/Studio,Căn Hộ 1 Phòng Ngủ,Double/Large,1 giường đôi lớn,1026000,1026000,0.0,5.8,5.0,,1.1,0,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),"Nijo KAYA Suites - Terra Royal Tower, Highclass, Central & Poker Table",4.0,Quận 3,"Quận 3, TP. Hồ Chí Minh",Apartment/Studio,Căn Hộ 2 Phòng Ngủ,Double/Large,2 giường đôi,1188000,1188000,0.0,7.6,77.0,,2.1,0,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Minh Tam Hotel & Spa 3/2,3.0,Quận 10,"Quận 10, TP. Hồ Chí Minh",Standard/Superior,Phòng Superior Giường Đôi,Double/Large,Phòng Superior Giường Đôi,975000,1500000,35.0,7.1,64.0,,2.3,0,1,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),MoMo Residence,4.0,Quận Phú,"Quận Phú Nhuận, TP. Hồ Chí Minh",Apartment/Studio,Studio Có Giường Cỡ King Và Giường Sofa,Double/Large,Studio Có Giường Cỡ King Và Giường Sofa,1035000,1035000,0.0,9.2,247.0,,3.1,0,0,No Deal,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Genius SaiGon - Sunrise City View D7,4.0,Quận 7,"Quận 7, TP. Hồ Chí Minh",Apartment/Studio,Căn Hộ Studio,Double/Large,1 giường đôi lớn,1346154,2492877,46.0,7.3,3.0,,3.8,0,0,Ưu Đãi Cuối Năm,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),The Metropole Opera Residence by KayStay,5.0,Other,TP. Hồ Chí Minh,Apartment/Studio,Căn Hộ 2 Phòng Ngủ Có Ban Công,Double/Large,"3 giường (1 giường đôi rất lớn, 1 giường sofa, 1 giường đôi lớn)",3357339,4476540,25.0,8.5,198.0,,1.4,1,0,Ưu Đãi Cuối Năm,1,2,3,12/17/2025
Random_1A_2C_1R_Ages(1_2),Equatorial Ho Chi Minh City,5.0,Quận 5,"Quận 5, TP. Hồ Chí Minh",Deluxe,Phòng Deluxe 2 Giường Đơn,Single/Twin,Phòng Deluxe 2 Giường Đơn,3348000,4185000,20.0,8.4,159.0,,2.7,0,0,No Deal,1,2,3,12/17/2025
