final_name,detail_url,_parse_status,ratingValue,reviewCount,price_min,price_max,price_avg,streetAddress,addressLocality,addressCountry,lat,lng,amenities
Thanh Thao Dalat Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293922-d6207817-Reviews-Thanh_Thao_Dalat_Hotel-Da_Lat_Lam_Dong_Province.html,ok_jsonld,2.7,6.0,315789.0,552632.0,434210.5,"21 Nguyen Van Troi, Da Lat, Đà Lạt",,Việt Nam,0.0,0.0,
Khách sạn Đức Thái,https://www.tripadvisor.com.vn/Hotel_Review-g293924-d641328-Reviews-Duc_Thai_Hotel-Hanoi.html,ok_jsonld,4.5,178.0,,,,95B Hang Ga str,,Việt Nam,0.0,0.0,
Silk Central Hotel & Travel,https://www.tripadvisor.com.vn/Hotel_Review-g293924-d1896319-Reviews-Silk_Central_Hotel_Travel-Hanoi.html,ok_jsonld,4.9,1190.0,1000000.0,2236842.0,1618421.0,15 Hàng Cân,,Việt Nam,0.0,0.0,
Blue Moon Hotel & Spa Mui Ne,https://www.tripadvisor.com.vn/Hotel_Review-g13172842-d15217913-Reviews-Blue_Moon_Hotel_Spa_Mui_Ne-Ham_Tien_Phan_Thiet_Binh_Thuan_Province.html,ok_jsonld,4.5,2.0,526316.0,947368.0,736842.0,"35D Nguyễn Đình Chiểu, Ham Tien",,Việt Nam,0.0,0.0,
Muji Hotel Beijing,https://www.tripadvisor.com.vn/Hotel_Review-g294212-d15232454-Reviews-Muji_Hotel_Beijing-Beijing.html,ok_jsonld,3.5,18.0,3052632.0,4394737.0,3723684.5,"Building 2, No.21 Langfang Toutiao, Meishi Street, Xicheng District, Bắc Kinh",,Việt Nam,0.0,0.0,
Sunny B Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d1230773-Reviews-Sunny_B_Hotel-Hue_Thua_Thien_Hue_Province.html,ok_jsonld,4.6,333.0,289474.0,473684.0,381579.0,"4/34 Nguyen Tri Phuong Street, Huế",,Việt Nam,0.0,0.0,
Khanh Duong Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g303942-d15074254-Reviews-Khanh_Duong_Hotel-Can_Tho_Mekong_Delta.html,ok_jsonld,4.0,1.0,,,,"20 Tran Quang Khai Cai Khe Ward, Ninh Kieu District, Cần Thơ",,Việt Nam,0.0,0.0,
Hotel COZi ∙ Harbour View,https://www.tripadvisor.com.vn/Hotel_Review-g294217-d13395146-Reviews-Hotel_COZi_Harbour_View-Hong_Kong.html,ok_jsonld,3.3,66.0,1736842.0,4289474.0,3013158.0,No.163 Wai Yip Street,,Việt Nam,0.0,0.0,
Khách sạn An Hòa,https://www.tripadvisor.com.vn/Hotel_Review-g293928-d1554291-Reviews-An_Hoa_Hotel-Nha_Trang_Khanh_Hoa_Province.html,ok_jsonld,4.3,335.0,,,,"64B / 6 Tran Phu, Nha Trang",,Việt Nam,0.0,0.0,
Reu Boutique Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g298082-d27999112-Reviews-Reu_Boutique_Hotel-Hoi_An_Quang_Nam_Province.html,ok_jsonld,4.7,19.0,1631579.0,2263158.0,1947368.5,128/9 Ly Thai To Str Cam Chau Ward,,Việt Nam,0.0,0.0,
Blue River II Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d1413468-Reviews-Blue_River_II_Hotel-Ho_Chi_Minh_City.html,ok_jsonld,3.5,129.0,315789.0,763158.0,539473.5,"54/13 Ky Con St District 1, Thành phố Hồ Chí Minh",,Việt Nam,0.0,0.0,
Ngoi Sao Phuong Nam Hotel,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d15517437-Reviews-Ngoi_Sao_Phuong_Nam_Hotel-Ho_Chi_Minh_City.html,ok_jsonld,5.0,1.0,289474.0,1184211.0,736842.5,"41/2 Kp3, Duong Tan Thoi Nhat 01, Thành phố Hồ Chí Minh",,Việt Nam,0.0,0.0,
Nicecy Hotel Yersin,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d33116597-Reviews-Nicecy_Hotel_Yersin-Ho_Chi_Minh_City.html,ok_jsonld,4.5,2.0,421053.0,1000000.0,710526.5,"7-9 Đường Yersin, Thành phố Hồ Chí Minh",,Việt Nam,0.0,0.0,
Le Jardin Secret Saigon,https://www.tripadvisor.com.vn/Hotel_Review-g293925-d17790717-Reviews-Le_Jardin_Secret_Saigon-Ho_Chi_Minh_City.html,ok_jsonld,4.4,11.0,1026316.0,1894737.0,1460526.5,"228 Ben Van Don Street Ward 5 District 4, Thành phố Hồ Chí Minh",,Việt Nam,0.0,0.0,
