link,ten,gia_niem_yet,discount,gia_hien_tai,dia_chi,so_luong_danh_gia,diem_danh_gia,tien_nghi
https://mytour.vn/khach-san/1311-elios-hotel.html?checkin=21-12-2025&checkout=22-12-2025&adults=2&rooms=1&children=0&pricekey=%252ff6t3styqjnesg42lat%252blvydzips6e9wpsaok6tntbu8qcfy4sucmvwvbqenxi1vexua6cy9k%252bc%253d,elios hotel,1057666.0,-0.18,867286.0,"233, phạm ngũ lão, quận 1, hồ chí minh, việt nam",370.0,8.2,đưa/đón khách sân bay | xe đưa đón tham quan | cho thuê xe hơi | lễ tân 24h | thu đổi ngoại tệ | giữ hành lý | bán tour
https://mytour.vn/khach-san/1325820-reddoorz-tahami-hotel-near-kha-van-can.html?checkin=21-12-2025&checkout=22-12-2025&adults=2&rooms=1&children=0&pricekey=%252bkhj4myg%252f5qvyjcxdxt0th%252brtwn8b4ph6bhvxygai2wn488smqg5b9viza9c%252bx5n,reddoorz tahami hotel near kha van can,522697.0,-0.24,397249.0,"no.1a, d2 street, tan hai minh residence, linh tay, thu duc, ho chi minh city",5.0,6.8,lễ tân 24h | giữ hành lý | dọn phòng hàng ngày | quầy bar | điều hoà nhiệt độ | không hút thuốc | thang máy
https://mytour.vn/khach-san/1337667-dong-kinh-hotel.html?checkin=21-12-2025&checkout=22-12-2025&adults=2&rooms=1&children=0&pricekey=%252ff6t3styqjkqkthix76rcvnngi1flgkfvd6xbrrldheyl7rcxzjacoydhjx8wf%252fs,dong kinh hotel,811804.0,-0.3,568262.0,"106-108 trần tuấn khải, phường 5, quận 5, tp. hồ chí minh dongkinh hotel",42.0,8.2,lễ tân 24h | giữ hành lý | két an toàn | internet miễn phí. | salon | phòng xông hơi khô | dọn phòng hàng ngày
https://mytour.vn/khach-san/1349-khach-san-vien-dong.html?checkin=21-12-2025&checkout=22-12-2025&adults=2&rooms=1&children=0&pricekey=%252bkhj4myg%252f5qh%252fdgs1cqewa36hyiyx4joiasjjo3myr%252bikhjh8hbzzzawb0yaglrmoqkgamq2ggs%253d,khách sạn viễn đông,1405439.0,-0.23,1082188.0,"275a, phạm ngũ lão, quận 1, hồ chí minh, việt nam",733.0,8.4,đưa/đón khách sân bay | xe đưa đón tham quan | cho thuê xe đạp | cho thuê xe hơi | lễ tân 24h | thu đổi ngoại tệ | giữ hành lý
https://mytour.vn/khach-san/1379-khach-san-pullman-sai-gon-centre.html?checkin=21-12-2025&checkout=22-12-2025&adults=2&rooms=1&children=0&pricekey=%252bkhj4myg%252f5qyogrzndobc0qmhfiud4vgceuex86t9kd4vrjro52aotxzf1fgxepmcdjnptrk30q%253d,khách sạn pullman sài gòn centre,4008000.0,-0.18,3286560.0,"148, trần hưng đạo, quận 1, hồ chí minh, việt nam",580.0,9.0,
https://mytour.vn/khach-san/1388479-nicecy-daily-inn-bui-vien-walking-street.html?checkin=21-12-2025&checkout=22-12-2025&adults=2&rooms=1&children=0&pricekey=%252bkhj4myg%252f5qoh1mymht2habpjggc8thctxzoillay94bwiomqbnyvmg5mgrqqlaj,nicecy daily inn- bui vien walking street,607064.0,-0.23,467439.0,40/29 đ. bùi viện,,8.4,lễ tân 24h | thu đổi ngoại tệ | giữ hành lý | két an toàn | đặt vé xe/máy bay | dọn phòng hàng ngày | điều hoà nhiệt độ
https://mytour.vn/khach-san/1404929-m-village-hotel-hai-ba-trung.html?checkin=21-12-2025&checkout=22-12-2025&adults=2&rooms=1&children=0&pricekey=%252ff6t3styqjnesg42lat%252blsnkujzotiwvji4oomqtz2mddaxikikhteno4a2mpgstpy7hfo9gdta%253d,m village hotel hai bà trưng,1391667.0,-0.18,1141166.0,"180a, hai bà trưng, quận 1, hồ chí minh, việt nam",,8.4,đưa/đón khách sân bay | lễ tân 24h | giữ hành lý | internet miễn phí. | dọn phòng hàng ngày | dịch vụ giặt là | quầy bar
https://mytour.vn/khach-san/1408514-khach-san-and-can-ho-golden-sun.html?checkin=21-12-2025&checkout=22-12-2025&adults=2&rooms=1&children=0&pricekey=%252bkhj4myg%252f5oqqkn9bxogac%252f0famwgoupxsg7g4f36oi5y5gulhkzizhwa6qb%252bmdupotwtkaaw0s%253d,khách sạn & căn hộ golden sun,1442429.0,-0.25,1081821.0,"153 street number 10, tan phong ward, district 7, hcmc",,8.4,dọn phòng hàng ngày | dịch vụ giặt là | ủi đồ | điều hoà nhiệt độ | không hút thuốc | truyền hình cáp/vệ tinh
https://mytour.vn/khach-san/1415519-nanwa-house.html?checkin=21-12-2025&checkout=22-12-2025&adults=2&rooms=1&children=0&pricekey=%252ff6t3styqjkqkthix76rcn7lbluj8%252f8z7cjpeslbwkid7eboi3i8eohkybkgb732,nanwa house,932611.0,-0.25,699458.0,15a/53 đường lê thánh tôn,,8.4,két an toàn | dọn phòng hàng ngày | dịch vụ giặt là | ủi đồ | điều hoà nhiệt độ | thang máy | truyền hình cáp/vệ tinh
https://mytour.vn/khach-san/1419-khach-san-gia-vien.html?checkin=21-12-2025&checkout=22-12-2025&adults=2&rooms=1&children=0&pricekey=%252bkhj4myg%252f5o2wwozgajo9%252fylxk0guqybram7cvxaa8qjgmtwtcl21jp8jhp%252fl1uebt0gwssxbqa%253d,khách sạn gia vien,1160181.0,-0.25,870135.0,"175/4-6, phạm ngũ lão, quận 1, hồ chí minh, việt nam",317.0,8.2,
