Final Price,Max People,Area_m2,price_per_m2,m2_per_person,num_facilities,has_luxury_keyword,is_king,is_queen,is_double,is_single,is_bunk,is_sofa,has_wifi,has_ac,has_breakfast,has_tv,has_pool,has_balcony,has_parking,has_kitchen,has_fridge,room_class,lr_room_class,lr_conf,is_misaligned
0.075813227,0.142857143,0.632352941,0.019103881,0.321917808,0.823529412,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,2,4,0.9262783506291782,True
0.004114244,0.142857143,0.132352941,0.00427393,0.089041096,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,3,0.7168909235879845,False
0.045077649,0.0,0.352941176,0.018788287,0.397260274,0.794117647,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,3,3,0.9416198543702989,False
0.046761828,0.0,0.382352941,0.018242598,0.424657534,0.823529412,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,4,4,0.7344528002670085,False
0.021790089,0.0,0.205882353,0.014005647,0.260273973,0.882352941,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.6099037500577147,False
0.061194196,0.0,0.294117647,0.029354567,0.342465753,0.823529412,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,2,2,0.35858790818575215,False
0.149637952,0.857142857,0.823529412,0.02968813,0.107632094,0.676470588,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0.42210970059845443,False
0.066413419,0.857142857,0.323529412,0.029529957,0.04109589,0.823529412,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,2,3,0.40580825024520284,False
0.108364663,0.285714286,0.720588235,0.024270193,0.237442922,0.441176471,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,4,4,0.7883745678299422,False
0.01582056,0.142857143,0.220588235,0.009825721,0.130136986,0.0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,3,0.7785095859602417,False
0.019574734,0.142857143,0.279411765,0.010052698,0.157534247,0.529411765,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,3,3,0.8145509471938494,False
0.016550205,0.142857143,0.132352941,0.014477158,0.089041096,0.617647059,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,5,5,0.6745571898872333,False
0.046477733,0.571428571,0.161764706,0.034403568,0.032876712,0.470588235,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,3,3,0.8708375972977929,False
0.009249579,0.142857143,0.132352941,0.008487275,0.089041096,0.647058824,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,3,0.99806940954405,False
0.017881587,0.142857143,0.088235294,0.019538446,0.068493151,0.0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,4,3,0.7278172986612678,False
0.012311824,0.142857143,0.441176471,0.004404571,0.232876712,0.029411765,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,2,3,0.8105473032446956,False
